股票代碼,股票名稱,EPS,ROE,營收成長率,速動比率,現價,市值,產業,部門
1213.TW,"Oceanic Beverages Co., Inc.",8.7,104.096,322.7,4.411,13.8,781391872.0,Beverages - Non-Alcoholic,Consumer Defensive
1446.TW,"Hong Ho Precision Textile Co.,Ltd.",9.82,62.976,30.7,1.491,31.15,4289666560.0,Textile Manufacturing,Consumer Cyclical
2345.TW,Accton Technology Corporation,21.35,39.034998,77.5,1.012,576.0,321931018240.0,Communication Equipment,Technology
2059.TW,"King Slide Works Co., Ltd.",63.51,32.631,66.10000000000001,6.565,1650.0,157240049664.0,"Furnishings, Fixtures & Appliances",Consumer Cyclical
3025.TW,"Loop Telecommunication International,Inc.",3.66,31.76,111.6,1.912,57.6,3268051200.0,Communication Equipment,Technology
2383.TW,"Elite Material Co., Ltd.",27.32,30.916,44.1,1.369,545.0,188914434048.0,Electronic Components,Technology
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,45.22,30.036,38.8,2.131,910.0,23598756528128.0,Semiconductors,Technology
1475.TW,"Big Sun Shine CO., LTD.",7.21,29.125,79.60000000000001,3.432,54.0,3564918016.0,Textile Manufacturing,Consumer Cyclical
2603.TW,Evergreen Marine Corporation (Taiwan) Ltd.,64.77,26.830998,66.2,1.964,220.5,477391355904.0,Marine Shipping,Industrials
1795.TW,"Lotus Pharmaceutical Co., Ltd.",19.22,26.305,29.0,1.628,222.0,58907701248.0,Drug Manufacturers - Specialty & Generic,Healthcare
2376.TW,"Giga-Byte Technology Co., Ltd.",14.47,23.126,43.9,1.455,242.0,162113142784.0,Computer Hardware,Technology
2360.TW,Chroma ATE Inc.,12.39,22.516,20.200000000000003,1.382,285.0,120745099264.0,Scientific & Technical Instruments,Technology
1463.TW,"Chyang Sheng Texing Co., Ltd.",3.27,21.167,378.6,2.721,26.6,4372853760.0,Textile Manufacturing,Consumer Cyclical
1537.TW,"Kung Long Batteries Industrial Co.,Ltd",11.7,20.915002,35.6,2.597,150.0,12309420032.0,Electrical Equipment & Parts,Industrials
1524.TW,"Gordon Auto Body Parts Co., Ltd.",3.6,20.607,21.0,1.254,40.35,6670258176.0,Auto Parts,Consumer Cyclical
1341.TW,"Fulin Plastic Industry (Cayman) Holding Co., Ltd.",5.31,20.54,24.3,1.101,67.1,3546301952.0,Textile Manufacturing,Consumer Cyclical
2615.TW,Wan Hai Lines Ltd.,16.87,20.267001,65.10000000000001,4.086,78.2,219440906240.0,Marine Shipping,Industrials
1713.TW,Cathay Chemical Works Inc.,10.19,19.490999,46.0,2.464,51.9,7834408960.0,Specialty Chemicals,Basic Materials
3013.TW,Chenming Electronic Tech. Corp.,3.57,18.956,48.5,1.18,108.0,22155012096.0,Computer Hardware,Technology
1231.TW,Lian Hwa Foods Corporation,4.22,18.573,20.9,1.058,127.5,34593554432.0,Packaged Foods,Consumer Defensive
3029.TW,"Zero One Technology Co., Ltd.",5.21,17.635,60.3,1.382,122.0,20374609920.0,Computer Hardware,Technology
2467.TW,C Sun Mfg Ltd.,4.8,17.462,30.2,1.623,144.0,21663502336.0,Specialty Industrial Machinery,Industrials
2609.TW,Yang Ming Marine Transport Corporation,18.32,16.652,102.9,4.565,74.4,259812245504.0,Marine Shipping,Industrials
2497.TW,"E-Lead Electronic Co., Ltd.",3.02,16.145,21.0,1.166,51.3,6299537408.0,Auto Parts,Consumer Cyclical
2488.TW,"Hanpin Electron Co., Ltd.",5.16,15.049,38.8,3.263,50.9,4071949312.0,Consumer Electronics,Technology
